ZCTA5CE20,AFFGEOID20,GEOID20,NAME20,LSAD20,ALAND20,AWATER20,LocationID,no_leisure_pa,mental_distress
01612,860Z200US01612,01612,01612,Z5,39529248,1981211,01612,16.2,15
01731,860Z200US01731,01731,01731,Z5,6053081,13757,01731,11.3,15.3
01746,860Z200US01746,01746,01746,Z5,48312679,1035601,01746,13.9,12.9
01778,860Z200US01778,01778,01778,Z5,38930949,2107656,01778,13.1,11.4
01821,860Z200US01821,01821,01821,Z5,42973865,1044539,01821,16.1,14.4
01824,860Z200US01824,01824,01824,Z5,46781002,997373,01824,15,12.9
01832,860Z200US01832,01832,01832,Z5,29413877,1256493,01832,23.8,18
01835,860Z200US01835,01835,01835,Z5,20231094,2228913,01835,18.7,16.6
01367,860Z200US01367,01367,01367,Z5,63640770,1958114,01367,20.6,14.6
01368,860Z200US01368,01368,01368,Z5,114793112,1835155,01368,27.4,17.4
01370,860Z200US01370,01370,01370,Z5,124803349,1471465,01370,20.5,14.7
01378,860Z200US01378,01378,01378,Z5,96733119,807713,01378,21.1,15.1
01879,860Z200US01879,01879,01879,Z5,43411792,3391782,01879,18.2,15.7
01431,860Z200US01431,01431,01431,Z5,61289600,1000254,01431,14.6,14
01432,860Z200US01432,01432,01432,Z5,22065776,1268669,01432,17.8,15.4
01451,860Z200US01451,01451,01451,Z5,54510950,1626301,01451,17.2,12.4
01468,860Z200US01468,01468,01468,Z5,56874587,749508,01468,21.9,16.6
01473,860Z200US01473,01473,01473,Z5,91788664,4700075,01473,20.5,14.9
01474,860Z200US01474,01474,01474,Z5,28722287,78185,01474,18.4,17
01222,860Z200US01222,01222,01222,Z5,11893143,425113,01222,23.6,16.7
01237,860Z200US01237,01237,01237,Z5,127711825,791427,01237,20.4,15.6
01344,860Z200US01344,01344,01344,Z5,35723125,1594159,01344,19.8,16.6
01346,860Z200US01346,01346,01346,Z5,34646508,73616,01346,21.7,16.4
01242,860Z200US01242,01242,01242,Z5,1189984,232,01242,17.5,13.4
01244,860Z200US01244,01244,01244,Z5,14918139,80665,01244,20.6,15.9
01253,860Z200US01253,01253,01253,Z5,54941670,1108018,01253,20.2,13.5
01256,860Z200US01256,01256,01256,Z5,92861024,460057,01256,24.9,17.6
01257,860Z200US01257,01257,01257,Z5,87792482,2106071,01257,21.9,15.4
01264,860Z200US01264,01264,01264,Z5,37654422,93619,01264,22.5,12.7
01267,860Z200US01267,01267,01267,Z5,153603813,383836,01267,18.2,16.7
01270,860Z200US01270,01270,01270,Z5,83527583,251134,01270,20,15.4
01340,860Z200US01340,01340,01340,Z5,134766155,681447,01340,18.6,14.9
02459,860Z200US02459,02459,02459,Z5,13037033,253260,02459,12.8,11.6
02766,860Z200US02766,02766,02766,Z5,72088057,3833390,02766,19.8,17
02767,860Z200US02767,02767,02767,Z5,64105034,786983,02767,22.5,16.4
02770,860Z200US02770,02770,02770,Z5,83803880,6375300,02770,17,14.3
02771,860Z200US02771,02771,02771,Z5,47633738,638668,02771,21.7,16.1
02777,860Z200US02777,02777,02777,Z5,58619914,6720357,02777,22.6,15.9
02779,860Z200US02779,02779,02779,Z5,42767440,2360496,02779,18.8,15.9
02780,860Z200US02780,02780,02780,Z5,85795283,3551403,02780,27.5,19.3
02790,860Z200US02790,02790,02790,Z5,139566533,17602724,02790,23,15.7
01343,860Z200US01343,01343,01343,Z5,29742148,501873,01343,25.6,17.6
01887,860Z200US01887,01887,01887,Z5,43961038,439325,01887,15.6,14.6
01908,860Z200US01908,01908,01908,Z5,2786306,3481257,01908,16.6,12.5
01923,860Z200US01923,01923,01923,Z5,34201343,2346845,01923,16.5,13.8
01940,860Z200US01940,01940,01940,Z5,26099797,1597238,01940,16.9,13.5
01951,860Z200US01951,01951,01951,Z5,37052613,6865110,01951,16.4,13.3
01983,860Z200US01983,01983,01983,Z5,30817077,2337435,01983,16.6,13.5
02026,860Z200US02026,02026,02026,Z5,26600398,1072541,02026,19.3,14.4
